run,depth_increment,noise,num_layers_psi,num_neurons_psi,num_layers_theta,num_neurons_theta,num_layers_K,num_neurons_K,MSE_theta_1,MSE_theta_2,MSE_theta_3,MSE_psi_1,MSE_psi_2,MSE_psi_3,MSE_K_1,MSE_K_2,MSE_K_3,MSE_flux_1,MSE_flux_2,MSE_flux_3
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_3_neu_theta_10_lay_K_1_neu_K_40,1,0,6,40,3,10,1,40,1.65398E-06,0.000117237,2.29849E-06,657959103,75631.12048,5486.791374,0.014575169,22.20116282,0.021831164,0.032991561,20.38401825,0.050252513
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_3_neu_theta_10_lay_K_2_neu_K_10,1,0,6,40,3,10,2,10,8.1954E-06,0.000323166,2.67487E-06,29726.70554,75586.08223,361923.3726,0.754391381,16.62396473,0.135855266,0.61799001,15.753812,0.125476869
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_3_neu_theta_10_lay_K_2_neu_K_20,1,0,6,40,3,10,2,20,1.33943E-06,0.000258502,1.35683E-06,17576515.43,75626.70758,17107952.19,0.008557834,13.47833057,0.010669057,0.027258591,12.65636736,0.026173807
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_3_neu_theta_10_lay_K_2_neu_K_40,1,0,6,40,3,10,2,40,1.61289E-06,0.000330411,1.49887E-06,13774693.98,75622.67856,4318606.054,0.021077975,20.29443185,0.018792122,0.038697473,19.14389564,0.031861212
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_3_neu_theta_10_lay_K_3_neu_K_10,1,0,6,40,3,10,3,10,1.7184E-06,0.000331439,1.93251E-06,328492.6355,75631.24187,38069.72338,0.044700323,26.5980558,0.095508797,0.050955939,24.94709154,0.086688582
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_3_neu_theta_10_lay_K_3_neu_K_20,1,0,6,40,3,10,3,20,1.56259E-06,4.89163E-05,1.88733E-06,929920.1139,75631.1195,77331.79105,0.036297269,24.23998372,0.047260901,0.049927813,21.64265151,0.059505654
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_3_neu_theta_10_lay_K_3_neu_K_40,1,0,6,40,3,10,3,40,2.0362E-06,0.000134481,2.30995E-06,1663844.087,75586.32538,98073.20834,0.069310048,56.90489188,0.074376864,0.06423761,52.95438089,0.065932877
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_3_neu_theta_20_lay_K_1_neu_K_10,1,0,6,40,3,20,1,10,6.84112E-05,8.55676E-05,2.01551E-06,75631.10901,75631.04067,368989.482,17.40163345,10.65382225,0.012955834,15.59373422,9.692190556,0.043839943
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_3_neu_theta_20_lay_K_1_neu_K_20,1,0,6,40,3,20,1,20,6.85194E-05,0.00023244,2.4898E-06,75630.7101,75631.23686,78726.6293,11.50022149,25.60403193,0.059001864,10.60019737,24.21489574,0.060576407
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_3_neu_theta_20_lay_K_1_neu_K_40,1,0,6,40,3,20,1,40,6.54752E-05,7.12163E-05,2.62171E-06,75631.17656,75630.68083,6761817.527,9.036481508,13.67877989,0.029375768,8.447274624,12.50414497,0.043856221
sandy_loam_depth_1_noise_0_lay_psi_6_neu_psi_40_lay_theta_3_neu_theta_20_lay_K_2_neu_K_10,1,0,6,40,3,20,2,10,0.000283554,0.000191327,1.63203E-06,75630.98732,75631.18355,651608.1202,3193.80458,21.86733434,0.031953118,3160.210318,20.10076716,0.035734972
