theta,psi,K
0.6760047,-1.1508003889443768,1362.6433
0.67155945,-1.207813835106718,1268.8593
0.66707987,-1.26765186585778,1180.2961
0.66256666,-1.330454417978022,1096.7655
0.6580205,-1.3963683610558648,1018.0665
0.6534422,-1.465547840955835,944.00946
0.64883256,-1.538154640302954,874.40137
0.6441923,-1.6143585568264012,809.0524
0.63952225,-1.6943378004472387,747.7779
0.6348234,-1.7782794100388282,690.3901
0.6300965,-1.8663796908345702,636.71045
0.62534255,-1.9588446735058849,586.55963
0.6205624,-2.0558905959840312,539.7635
0.61575705,-2.1577444091525497,496.15112
0.61092746,-2.264644307592937,455.5575
0.60607475,-2.376840286624747,417.82025
0.6011998,-2.494594726942818,382.78265
0.59630376,-2.6181830082188418,350.29266
0.59138757,-2.7478941531022456,320.20288
0.5864525,-2.8840315031264465,292.37122
0.58149946,-3.0269134281011376,266.66107
0.5765297,-3.1768740706495935,242.94104
0.5715443,-3.334264127632163,221.0851
0.5665444,-3.4994516702833764,200.97224
0.56153125,-3.6728230049806396,182.48708
0.5565059,-3.8547835766575,165.51949
0.5514697,-4.045758916974197,149.96475
0.54642373,-4.246195639462886,135.72311
0.5413692,-4.4565624839747775,122.70065
0.5363074,-4.6773514128717135,110.807945
0.5312395,-4.909078761525748,99.96049
0.52616674,-5.152286445817267,90.078964
0.5210904,-5.407543229455494,81.08855
0.5160116,-5.675446054085141,72.91906
0.5109317,-5.956621435289756,65.50466
0.5058518,-6.251726927756491,58.78386
0.5007733,-6.561452663028668,52.699062
0.49569735,-6.886522963442354,47.19683
0.49062517,-7.227698036021274,42.227295
0.48555797,-7.585775750291386,37.74414
0.48049706,-7.961593504172711,33.704556
0.47544354,-8.35603018231198,30.06883
0.47039872,-8.770008211435819,26.800325
0.46536374,-9.204495717531158,23.865265
0.46033975,-9.660508789897548,21.232548
0.455328,-10.139113857366178,18.873629
0.45032954,-10.64143018224251,16.762283
0.44534564,-11.168632477804927,14.874538
0.44037735,-11.721953655480585,13.188494
0.43542576,-12.302687708123056,11.684104
0.43049204,-12.912192736134543,10.343157
0.42557722,-13.551894123509518,9.1490555
0.42068237,-14.223287871227312,8.086754
0.41580853,-14.927944095789028,7.1425796
0.41095665,-15.667510701080507,6.3041654
0.40612784,-16.44371723214828,5.560342
0.40132296,-17.258378919900945,4.9010005
0.3965431,-18.113400926194878,4.317047
0.391789,-19.01078279923179,3.800285
0.38706166,-19.952623149687522,3.343353
0.38236195,-20.941124558507585,2.9396365
0.37769073,-21.978598727846837,2.5832067
0.3730488,-23.067471887199204,2.2687554
0.36843696,-24.210290467360217,1.9915345
0.36385602,-25.409727055491402,1.7473022
0.35930657,-26.66858664521306,1.5322745
0.35478956,-27.9898131963418,1.343081
0.3503055,-29.376496519613383,1.1767178
0.34585512,-30.831879502491518,1.0305172
0.341439,-32.359365692960694,0.9021082
0.3370578,-33.962527259038595,0.78938675
0.33271205,-35.64511334262206,0.69048804
0.32840234,-37.411058827202844,0.6037609
0.3241292,-39.264493539957364,0.5277436
0.31989306,-41.20975190973026,0.4611436
0.31569433,-43.251383103497965,0.40282056
0.3115336,-45.39416166501726,0.35176727
0.3074112,-47.64309868053835,0.30709526
0.30332747,-50.00345349769446,0.26802227
0.29928273,-52.48074602497369,0.2338589
0.2952775,-55.08076964053658,0.20399888
0.2913119,-57.80960474056785,0.1779087
0.28738624,-60.67363295884637,0.15512013
0.2835008,-63.67955209078719,0.13522133
0.2796558,-66.83439175685685,0.11785096
0.2758513,-70.14552984199226,0.10269193
0.27208766,-73.62070974946849,0.0894666
0.26836497,-77.26805850956484,0.07793115
0.2646833,-81.0961057853784,0.06787212
0.2610428,-85.11380382023167,0.059102874
0.25744355,-89.33054837332324,0.05145966
0.2538855,-93.7562006925814,0.04479938
0.25036883,-98.4011105761064,0.038996935
0.24689355,-103.2761405761324,0.033942897
0.2434595,-108.39269140211263,0.029541582
0.24006677,-113.76272858233496,0.02570942
0.23671532,-119.39881044641876,0.022373483
0.233405,-125.31411749413259,0.019469982
