run,depth_increment,noise,num_layers_psi,num_neurons_psi,num_layers_theta,num_neurons_theta,num_layers_K,num_neurons_K,MSE_theta_1,MSE_theta_2,MSE_theta_3,MSE_psi_1,MSE_psi_2,MSE_psi_3,MSE_K_1,MSE_K_2,MSE_K_3,MSE_flux_1,MSE_flux_2,MSE_flux_3
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_1_neu_theta_20_lay_K_2_neu_K_10,1,0,8,40,1,20,2,10,1.00948E-05,1.86848E-06,1.5991E-06,34817.96638,29762.70187,39442.89339,0.172200448,0.014488808,0.007169533,0.138163862,0.044943779,0.031374518
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_1_neu_theta_20_lay_K_2_neu_K_20,1,0,8,40,1,20,2,20,1.50194E-06,2.96911E-06,1.91734E-06,32047.75539,26175.33114,31965.43928,0.008476286,0.015641589,0.009127911,0.035853122,0.054398185,0.038414597
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_1_neu_theta_20_lay_K_2_neu_K_40,1,0,8,40,1,20,2,40,2.77562E-06,1.62525E-06,1.91565E-06,22106.20404,37582.55713,30694.73886,0.019065063,0.008086969,0.010913661,0.054081893,0.038823295,0.041826615
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_1_neu_theta_20_lay_K_3_neu_K_10,1,0,8,40,1,20,3,10,2.96716E-06,2.01579E-06,1.0034E-05,27787.70366,38402.29812,41765.87322,0.00982034,0.009407605,0.245967016,0.033637225,0.038561878,0.176708734
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_1_neu_theta_20_lay_K_3_neu_K_20,1,0,8,40,1,20,3,20,2.31025E-06,1.07117E-05,2.58233E-06,32616.38151,35024.70555,35344.06535,0.015335464,0.227854512,0.00753091,0.041832989,0.188037507,0.031552109
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_1_neu_theta_20_lay_K_3_neu_K_40,1,0,8,40,1,20,3,40,1.35255E-05,2.25672E-06,2.02774E-06,27594.92387,38543.5438,31305.07964,0.230411797,0.010979627,0.00765726,0.204865458,0.052962276,0.026348916
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_1_neu_theta_40_lay_K_1_neu_K_10,1,0,8,40,1,40,1,10,2.16522E-06,3.08671E-06,1.75683E-06,1227.042625,14028.32528,2609.131927,0.016160231,0.018740383,0.012951633,0.036207235,0.07398494,0.03806472
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_1_neu_theta_40_lay_K_1_neu_K_20,1,0,8,40,1,40,1,20,2.03182E-06,2.65209E-06,1.66182E-06,9695.270838,6068.366019,1323.698446,0.021030889,0.022651306,0.011794495,0.037106749,0.047481829,0.032747673
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_1_neu_theta_40_lay_K_1_neu_K_40,1,0,8,40,1,40,1,40,1.54892E-06,2.60243E-06,1.51112E-06,22270.12108,13578.26127,726.9063076,0.007894177,0.013654764,0.012162953,0.028792124,0.040039024,0.04278617
sandy_loam_depth_1_noise_0_lay_psi_8_neu_psi_40_lay_theta_1_neu_theta_40_lay_K_2_neu_K_10,1,0,8,40,1,40,2,10,2.24818E-06,1.62711E-06,1.11646E-05,25423.39147,29066.41238,40325.21666,0.008460208,0.008178182,0.159235069,0.029805789,0.029276564,0.167608335
