 ******* Program HYDRUS
 ******* 
 Infiltration of water into soil profile                                 
 Date:   1. 9.    Time:  12:30:57
 Units: L = cm   , T = days , M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh
  178     17.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  179     17.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  180     17.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  181     18.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  182     18.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  183     18.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  184     18.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  185     18.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  186     18.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  187     18.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  188     18.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  189     18.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  190     18.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  191     19.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  192     19.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  193     19.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  194     19.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  195     19.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  196     19.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  197     19.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  198     19.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  199     19.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  200     19.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  201     20.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  202     20.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  203     20.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  204     20.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  205     20.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  206     20.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
